Beschreibung,Dafür,Dagegen,Endergebnis,Vorgeschlagen_von,Datum,Episode,Nummer
"Eine Handcreme, die gleichzeitig als Desinfektionsmittel fungiert, und für Nina ein Symbol der Resignation in der Pandemie ist, da die anfängliche Kreativität (modische Masken, Desinfektionsspray am Kinderwagen) einer Akzeptanz des Status quo gewichen ist.",[],['Lars'],False,Nina,2022-01-24,Regretting motherhood hier unerfüllter Kinderwunsch da,1
"Der Ketchupflascheneffekt beschreibt das Phänomen, dass erst nichts rauskommt und dann zu viel. Lars überträgt den Effekt auf die Inflation: Erst war die Inflation jahrelang niedriger als von der EZB gewünscht, jetzt ist sie plötzlich sehr hoch.",[],['Nina'],False,Lars,2022-01-24,Regretting motherhood hier unerfüllter Kinderwunsch da,2
"Valentins Beobachtung, dass der Veganuary, eine Aktion zum veganen Essen im Januar,  dazu führt, dass viele vegane Fertigprodukte gekauft werden, die aber oft ungesund sind (z.B. zu viel Salz). Dies wird als Beispiel für einen Convenience-Veganismus gesehen.",['Lars'],[],True,Nina,2022-01-24,Regretting motherhood hier unerfüllter Kinderwunsch da,3
"Lars beobachtet, dass das Lästern, das in den 90er und 00er Jahren noch ein positiv konnotiertes Thema und ein regelmäßiger Diskursgegenstand war (z.B. Artikel darüber, warum Lästern guttut), gesellschaftlich verschwunden zu sein scheint.",['Nina'],[],True,Lars,2022-01-24,Regretting motherhood hier unerfüllter Kinderwunsch da,4
"Semi-ironischer Umgang von Instagram-Influencern mit der Oberflächlichkeit ihres Mediums. Sie posten oberflächliche Inhalte wie Selfies oder Essen und schreiben ""für den Algorithmus"" dazu, um zu signalisieren, dass sie dies nur tun, um die Reichweite zu erhöhen und nicht, weil sie diese Inhalte für wichtig halten.",['Ijoma'],[],True,Lars,2021-10-18,Die digitale DDR,1
"Eine Veränderung in der politischen Kommunikationsstrategie. Der Begriff ""Cancel Culture"", der bisher als Kampfbegriff von rechts galt und von links als Phantom bezeichnet wurde, wird nun plötzlich auch von linker Seite verwendet, um Kritik an der Ausgrabung alter Tweets und Äußerungen zu üben.",['Lars'],[],True,Ijoma,2021-10-18,Die digitale DDR,2
"Lars beobachtet, dass bei teuren Autos wie BMW und Mercedes beim Ein- und Ausparken die Kofferraumklappe, in der sich eine Kamera befindet, leicht offen steht. Er interpretiert das als Zeichen für die Krise der deutschen Automobilindustrie und eine unschöne Designlösung.",[],['Ijoma'],False,Lars,2021-10-18,Die digitale DDR,3
"Eine Kommunikationsstrategie auf Twitter, bei der der Gegner vorgeführt werden soll. Man notiert zwei seiner Positionen und schreibt darunter ""merkt ihr selber"", um die Widersprüchlichkeit und Unaufrichtigkeit des Gegners zu betonen.",[],['Lars'],False,Ijoma,2021-10-18,Die digitale DDR,4
"Der Tintenfisch ist zum neuen ""Modetier"" avanciert und wird als besonders intelligent wahrgenommen.  Dies führt zu Diskussionen darüber, ob man ihn noch essen sollte. Das Tier wird in Essays thematisiert und von Hollywood-Stars als Identifikationsfigur verwendet.",['Lars'],[],True,Ijoma,2021-01-11,Wir weinen dem Verbrenner eine Träne nach,1
"Die Toniebox ist ein smarter Lautsprecher für Kinder, der mit Figuren bedient wird.  Jede Figur repräsentiert ein bestimmtes Hörspiel oder Musikstück. Sie ermöglicht Kindern, selbstständig Medien zu konsumieren.",['Ijoma'],[],True,Lars,2021-01-11,Wir weinen dem Verbrenner eine Träne nach,2
"YouTuber, auch solche ohne bairischen/österreichischen Hintergrund, verwenden die Formulierung ""Schreibts was rein in die Kommentare"". Dies ist ein Beispiel für die Übernahme eines dialektalen Ausdrucks in die allgemeine Internetsprache (Soziolekt).",['Lars'],[],True,Ijoma,2021-01-11,Wir weinen dem Verbrenner eine Träne nach,3
"Der englische Begriff ""Topping"" wird immer häufiger statt des deutschen Wortes ""Zutat"" verwendet, selbst wenn es sich nicht um eine Auflage handelt. Dies zeige den Einfluss der englischen Sprache.",[],['Ijoma'],False,Zuhörer/Publikum/Gast,2021-01-11,Wir weinen dem Verbrenner eine Träne nach,4
"Das Wort ""Vakzine"" wird im allgemeinen Sprachgebrauch immer häufiger anstelle von ""Impfstoff"" verwendet.  Dies geschieht, obwohl ""Vakzine"" kein genuin englisches Wort ist, und zeige den Einfluss von Fachsprache und Anglizismen.",[],['Lars'],False,Ijoma,2021-01-11,Wir weinen dem Verbrenner eine Träne nach,5
"Fußgänger und Radfahrer verwenden immer mehr Leuchtmittel, um im Straßenverkehr besser sichtbar zu sein.  Beispiele sind Grubenlampen bei Joggern und blinkende Warnzeichen an Fahrradhelmen.",['Ijoma'],[],True,Lars,2021-01-11,Wir weinen dem Verbrenner eine Träne nach,6
"Workation beschreibt die neue Lebensform, in der man quasi lebt wie im Urlaub, aber von dort aus eben auch arbeitet.  Möglich durch die Digitalisierung, durch Zoom etc.  Es verbindet den alten Traum von der Verbindung von Urlaub und Geldverdienen, von Freiheit und Selbsterhalt.",['Nina'],[],True,Ijoma,2021-11-15,Ist Südkorea die neue kulturelle Weltmacht,1
"Lastenräder werden immer beliebter, sind aber noch nicht optimal.  Die emotionale Last und der Mental Load des Lastenrads:  hohe Kosten,  Diebstahlgefahr, schwere Akkus. Das Versprechen von Schnelligkeit und Praktikabilität trifft noch nicht ganz zu.",['Ijoma'],[],True,Nina,2021-11-15,Ist Südkorea die neue kulturelle Weltmacht,2
"Eine Retro-Welle überrollt uns:  TV Total kehrt zurück, ABBA kehrt zurück, Diana Ross veröffentlicht ein neues Album, Timberland Schuhe werden wieder modern.  Das Gefühl, dass plötzlich alte Trends wieder auftauchen.",['Ijoma'],[],True,Nina,2021-11-15,Ist Südkorea die neue kulturelle Weltmacht,3
"Der Satz kristallisiert sich vor allem auf Twitter heraus und beschreibt das Phänomen, dass sich auch innerhalb der linken Szene in Unterkategorien fraktioniert und voneinander abgrenzt. ""Links sein"" reicht nicht aus, um als ""Ally"" einer Minderheit zu gelten; man muss die jeweilige Gruppendoktrin genau befolgen.",['Nina'],[],True,Ijoma,2021-11-15,Ist Südkorea die neue kulturelle Weltmacht,4
"In Italien beobachtete Ijoma den subtile Widerstand gegen die EU-Richtlinie, nach der Plastikwasserflaschendeckel nicht mehr abnehmbar sein sollen. Dies äußert sich in einer gespreizten Fingergeste beim Trinken, mit der der Deckel weggedrückt wird.",['Nina'],[],True,Ijoma,2024-07-01,Sind wir im Fitnesstudio alle gleich,1
"Wibke aus Hamburg bemerkte eine Zunahme von Menschen, die zwei Hunde gleichzeitig ausführen. Nina Power bestätigt diese Beobachtung und fragt sich, ob es sich um einen neuen Trend handelt.",[],['Ijoma'],False,Zuhörer/Publikum/Gast,2024-07-01,Sind wir im Fitnesstudio alle gleich,2
"Der Begriff ""gewaltvoll"" wird zunehmend verwendet, um abstrakte Konstellationen und Verhältnisse zu beschreiben, die insgesamt auf diffuse Weise als negativ empfunden werden. Damit wird der Geltungsbereich des Begriffs erweitert über die konkrete Gewalttat hinaus.",['Nina'],[],True,Ijoma,2024-07-01,Sind wir im Fitnesstudio alle gleich,3
"Olga stellte fest, dass die Menopause aktuell einen ""krassen Moment"" hat. Es gibt vermehrt Content in sozialen Medien dazu, z.B. Instagram Accounts von Gynäkolog*innen, die sich darauf spezialisiert haben. Zudem gibt es neue Bücher, die sich dem Thema widmen.",['Ijoma'],[],True,Zuhörer/Publikum/Gast,2024-07-01,Sind wir im Fitnesstudio alle gleich,4
